feature,importance
weekofyear,1644
price_diff,1039
checkout_price,955
discount_pct,759
num_orders_lag_1,731
discount,704
rolling_median_10,638
num_orders_lag_10,623
base_price,577
num_orders_lag_2,441
rolling_min_5,439
num_orders_lag_5,427
meal_id,425
rolling_min_10,420
rolling_max_10,410
op_area,409
num_orders_lag_3,383
rolling_mean_10,377
rolling_median_3,351
rolling_std_10,349
rolling_std_3,347
rolling_median_5,332
city_code,316
homepage_featured,307
rolling_std_5,303
center_id,300
rolling_max_3,298
emailer_for_promotion,296
rolling_max_5,287
category_target_enc,274
rolling_mean_5,269
rolling_min_3,262
rolling_mean_3,233
homepage_featured_rolling_sum_3,224
region_code,214
emailer_for_promotion_rolling_sum_3,195
cuisine_target_enc,173
category_Sandwich,163
center_type_target_enc,105
center_type_TYPE_C,66
cuisine_Italian,62
center_type_TYPE_A,58
category_Rice Bowl,57
cuisine_Thai,53
cuisine_Indian,45
category_Beverages,35
center_type_TYPE_B,31
category_Salad,21
category_Other Snacks,19
cuisine_Continental,18
category_Extras,14
category_Pizza,13
category_Fish,3
category_Starters,2
