number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,state
0,105.14180543946317,2025-04-25 16:06:53.463227,2025-04-25 16:06:54.483157,0 days 00:00:01.019930,0.6655875170965343,5,0.8796034400796267,0.000319182147134404,0.019870035285645897,0.13554107346198577,11,22,97,COMPLETE
1,105.20793209728473,2025-04-25 16:06:54.503327,2025-04-25 16:06:56.828222,0 days 00:00:02.324895,0.6350197543531889,2,0.9030227402812707,1.6436191079568139,0.6176492099009799,0.02061172744332607,10,24,61,COMPLETE
2,104.8955372761756,2025-04-25 16:06:56.844631,2025-04-25 16:06:58.463633,0 days 00:00:01.619002,0.8911108014831006,2,0.6436954202370642,5.673033084873965,0.04595075127054719,0.130126558541586,9,18,30,COMPLETE
3,105.06044924336602,2025-04-25 16:06:58.480014,2025-04-25 16:07:02.724212,0 days 00:00:04.244198,0.7698334981152177,6,0.7908799729808248,0.6161136125835467,0.23386210405431204,0.019181038327268096,9,22,67,COMPLETE
4,105.78804994647172,2025-04-25 16:07:02.740555,2025-04-25 16:07:04.909564,0 days 00:00:02.169009,0.6283016339497615,7,0.8269447057201422,0.0016514323064109248,0.033210557432103584,0.030382469054070882,3,50,22,COMPLETE
5,104.5899533477485,2025-04-25 16:07:04.925627,2025-04-25 16:07:11.882694,0 days 00:00:06.957067,0.8962445192293327,2,0.8336006270056221,0.008690305946527067,7.353482527210943,0.01808608928528138,5,58,21,COMPLETE
6,104.81244529449259,2025-04-25 16:07:11.903674,2025-04-25 16:07:14.818324,0 days 00:00:02.914650,0.8698726617411472,5,0.837896140107636,0.00012579985549568098,0.00023578527147543053,0.021900782417813403,8,56,94,COMPLETE
7,105.0559087134648,2025-04-25 16:07:14.834613,2025-04-25 16:07:17.663241,0 days 00:00:02.828628,0.7174214090508828,6,0.6387682515936225,0.00012365313802817303,0.00028998925922464066,0.03937401828088451,12,17,25,COMPLETE
8,105.3515098067648,2025-04-25 16:07:17.678560,2025-04-25 16:07:20.809092,0 days 00:00:03.130532,0.8365291054555601,2,0.9481001505990796,0.08228706785219635,8.34045837608256,0.013165904694023517,9,51,47,COMPLETE
9,105.27554476339364,2025-04-25 16:07:20.825414,2025-04-25 16:07:27.549786,0 days 00:00:06.724372,0.9563949366642405,1,0.7154736523646676,0.03652246656535077,1.0691388198505793,0.023427805089992294,3,33,37,COMPLETE
10,105.53789073843947,2025-04-25 16:07:27.566108,2025-04-25 16:07:32.097788,0 days 00:00:04.531680,0.9930843042162459,3,0.9838896692215253,0.00399193035600513,6.3008015319899195,0.06189221519981738,6,40,13,COMPLETE
11,104.57927767094041,2025-04-25 16:07:32.117499,2025-04-25 16:07:37.402935,0 days 00:00:05.285436,0.8913710594789064,4,0.7860491501441713,0.003895159529792069,0.00011240752786943853,0.011693163659240788,6,60,100,COMPLETE
12,104.97828147504563,2025-04-25 16:07:37.419168,2025-04-25 16:07:42.396900,0 days 00:00:04.977732,0.9121754026579203,4,0.7344865567009803,0.006329893569953953,0.0024538996433959267,0.010211084327683174,6,5,78,COMPLETE
13,104.58292908412041,2025-04-25 16:07:42.414403,2025-04-25 16:07:49.492691,0 days 00:00:07.078288,0.8136688504030634,4,0.757205757102423,0.1578329004559253,0.0026742090551488606,0.013584618639199476,5,60,79,COMPLETE
14,104.85046403935006,2025-04-25 16:07:49.510139,2025-04-25 16:07:50.566147,0 days 00:00:01.056008,0.7894936442750398,4,0.7394991357888167,0.20281292946415339,0.000909841821945866,0.06444819201632067,5,46,82,COMPLETE
15,104.98088205462582,2025-04-25 16:07:50.582515,2025-04-25 16:08:00.231963,0 days 00:00:09.649448,0.8341394708022674,3,0.6867318292388948,0.021078256122041585,0.004275160846268842,0.010116465227977373,7,59,81,COMPLETE
16,105.23789559234167,2025-04-25 16:08:00.248319,2025-04-25 16:08:03.611348,0 days 00:00:03.363029,0.7308866235163818,4,0.7840538347184899,0.0013017619302735082,0.00010840610918155553,0.014314446432718116,4,43,100,COMPLETE
17,104.88570838812488,2025-04-25 16:08:03.628094,2025-04-25 16:08:08.744049,0 days 00:00:05.115955,0.936194435128744,5,0.6050511024191161,0.20582958618982442,0.0013040841494552455,0.03014189734242539,7,36,87,COMPLETE
18,105.25394891258783,2025-04-25 16:08:08.760690,2025-04-25 16:08:09.893064,0 days 00:00:01.132374,0.8399609118895079,3,0.7663725471335664,0.034467602504530515,0.007719551491450974,0.19024978268191603,5,54,70,COMPLETE
19,104.4748900794148,2025-04-25 16:08:09.909737,2025-04-25 16:08:14.824065,0 days 00:00:04.914328,0.7503968802925036,4,0.8817293258004766,0.0007171201998394353,0.0005521222875339319,0.014009412802648552,6,47,51,COMPLETE
20,104.90886243629093,2025-04-25 16:08:14.841025,2025-04-25 16:08:16.318799,0 days 00:00:01.477774,0.7218664538137998,6,0.8787062352817765,0.000527572751532115,0.0004578712194095444,0.059283960658927326,8,47,50,COMPLETE
21,105.07075014471364,2025-04-25 16:08:16.336247,2025-04-25 16:08:18.961821,0 days 00:00:02.625574,0.7618667564985842,4,0.9213529443968621,0.001437180865650891,0.0007551196012298426,0.01426767883978224,6,60,56,COMPLETE
22,105.05727869390725,2025-04-25 16:08:18.978267,2025-04-25 16:08:21.771804,0 days 00:00:02.793537,0.8081674310537728,5,0.8209159526343102,0.0005031625770213805,0.0001312288515051953,0.013405815066611402,4,52,43,COMPLETE
23,104.98377167933542,2025-04-25 16:08:21.787667,2025-04-25 16:08:28.141840,0 days 00:00:06.354173,0.8627953304182406,3,0.8632854694079419,0.012748983365971429,0.0021003442515099588,0.010196846831457223,4,39,71,COMPLETE
24,104.62010198137932,2025-04-25 16:08:28.158897,2025-04-25 16:08:30.590081,0 days 00:00:02.431184,0.6764634126972549,4,0.7569736973542314,0.0031176877628596024,0.008768731386647261,0.01663361152381274,6,47,90,COMPLETE
25,104.6310825790061,2025-04-25 16:08:30.606562,2025-04-25 16:08:33.701038,0 days 00:00:03.094476,0.8017581417540416,4,0.7021629520530883,0.08337315086315068,0.0004827191161047762,0.026702622196595648,7,53,61,COMPLETE
26,105.01066975412884,2025-04-25 16:08:33.717371,2025-04-25 16:08:36.573748,0 days 00:00:02.856377,0.7539960707790462,5,0.8018213772278645,0.9137574519497901,0.000218217648944739,0.04328556383619719,5,60,76,COMPLETE
27,105.06742324454224,2025-04-25 16:08:36.590895,2025-04-25 16:08:43.609012,0 days 00:00:07.018117,0.7024910912983948,3,0.679859384029695,0.0024781638762050354,0.0036573066255588204,0.01297650658867568,6,28,86,COMPLETE
28,104.93629975281733,2025-04-25 16:08:43.625252,2025-04-25 16:08:47.547788,0 days 00:00:03.922536,0.9510704365749127,7,0.8561024697551812,0.0008787059279591401,0.0001011033084732145,0.01656547880431011,4,55,57,COMPLETE
29,105.34522326845693,2025-04-25 16:08:47.565366,2025-04-25 16:08:48.952512,0 days 00:00:01.387146,0.8201510574100138,5,0.9129398287799466,0.0002998001797343121,0.012364937818589548,0.10154216488454172,8,49,96,COMPLETE
30,104.89257357697258,2025-04-25 16:08:48.968991,2025-04-25 16:08:50.647498,0 days 00:00:01.678507,0.6819072295364683,3,0.9655135934299148,0.0002606487831895303,0.0708358045188428,0.03505983683167195,7,45,38,COMPLETE
31,105.41182198184313,2025-04-25 16:08:50.664102,2025-04-25 16:08:54.714034,0 days 00:00:04.049932,0.8916875009710787,1,0.8460246046825509,0.009173734855923993,3.0496661907029194,0.017780953007695947,5,55,10,COMPLETE
32,104.90574779797447,2025-04-25 16:08:54.730559,2025-04-25 16:09:01.014690,0 days 00:00:06.284131,0.9193270493734504,2,0.8801664612761413,0.005297786430616303,0.15273075781776055,0.012109473733432081,5,57,18,COMPLETE
33,104.21612575508202,2025-04-25 16:09:01.031140,2025-04-25 16:09:03.418830,0 days 00:00:02.387690,0.8706230014828662,2,0.8040126306372819,0.01581384728214554,0.7980030007621036,0.023154999352749613,6,60,64,COMPLETE
34,104.47570582565534,2025-04-25 16:09:03.435013,2025-04-25 16:09:04.949530,0 days 00:00:01.514517,0.8581568367915233,1,0.805750333232908,0.09245125473795039,1.4917317311684006,0.025814971222733536,6,60,66,COMPLETE
35,104.90670500647443,2025-04-25 16:09:04.966466,2025-04-25 16:09:07.890062,0 days 00:00:02.923596,0.8566367288552051,1,0.7924147683381336,6.893721757701587,0.7723336918055664,0.023406077985242163,10,42,63,COMPLETE
36,104.7050588769998,2025-04-25 16:09:07.906216,2025-04-25 16:09:09.842135,0 days 00:00:01.935919,0.6050683586678732,1,0.802816674188736,0.01569304721003642,1.4421338737796852,0.02710462393037096,7,50,50,COMPLETE
37,104.35849428899041,2025-04-25 16:09:09.858472,2025-04-25 16:09:13.442018,0 days 00:00:03.583546,0.7811687842096449,2,0.8204112265425931,0.047800562564934305,0.2748520730655242,0.019695256729151865,6,56,65,COMPLETE
38,104.59621958188032,2025-04-25 16:09:13.458676,2025-04-25 16:09:15.988371,0 days 00:00:02.529695,0.7706614571748223,2,0.8899495112811548,2.689736761703007,0.3375050268577524,0.021219155487496817,8,55,67,COMPLETE
39,104.29254289702706,2025-04-25 16:09:16.004888,2025-04-25 16:09:18.983601,0 days 00:00:02.978713,0.7433146705726079,2,0.8152736137416814,0.4745170817785272,0.09934510691604086,0.03365602656324169,6,57,63,COMPLETE
